# Image list with two lines of data per image:
#   IMAGE_ID, QW, QX, QY, QZ, TX, TY, TZ, CAMERA_ID, NAME
#   POINTS2D[] as (X, Y, POINT3D_ID)
0 0.0282075 0.00859384 -0.993572 0.109293 0.436553 -0.752856 5.53708 0 00000000.png

1 0.0282075 0.00859384 -0.993572 0.109293 0.436553 -0.752856 5.53708 1 00000000.png

2 0.0282075 0.00859384 -0.993572 0.109293 0.436554 -0.752856 5.53708 2 00000000.png

3 0.0282075 0.00859384 -0.993572 0.109293 0.436554 -0.752856 5.53708 3 00000000.png

4 0.0282075 0.00859384 -0.993572 0.109293 0.436554 -0.752856 5.53708 4 00000000.png

5 0.0282075 0.00859384 -0.993572 0.109293 0.436555 -0.752856 5.53708 5 00000000.png

6 0.0282075 0.00859384 -0.993572 0.109293 0.436555 -0.752856 5.53708 6 00000000.png

7 0.0282075 0.00859384 -0.993572 0.109293 0.436555 -0.752856 5.53708 7 00000000.png

8 0.0282075 0.00859384 -0.993572 0.109293 0.436555 -0.752856 5.53708 8 00000000.png

9 0.0282075 0.00859384 -0.993572 0.109293 0.436556 -0.752856 5.53708 9 00000000.png

10 0.0282075 0.00859384 -0.993572 0.109293 0.436556 -0.752856 5.53708 10 00000000.png

11 0.0282075 0.00859384 -0.993572 0.109293 0.436556 -0.752856 5.53708 11 00000000.png

12 0.0282075 0.00859384 -0.993572 0.109293 0.436556 -0.752856 5.53708 12 00000000.png

13 0.0282075 0.00859384 -0.993572 0.109293 0.436556 -0.752856 5.53708 13 00000000.png

14 0.0282075 0.00859384 -0.993572 0.109293 0.436556 -0.752856 5.53708 14 00000000.png

15 0.0282075 0.00859384 -0.993572 0.109293 0.436557 -0.752856 5.53708 15 00000000.png

16 0.0282075 0.00859384 -0.993572 0.109293 0.436557 -0.752856 5.53708 16 00000000.png

17 0.0282075 0.00859384 -0.993572 0.109293 0.436557 -0.752856 5.53708 17 00000000.png

18 0.0282075 0.00859384 -0.993572 0.109293 0.436557 -0.752856 5.53708 18 00000000.png

19 0.0282075 0.00859384 -0.993572 0.109293 0.436557 -0.752856 5.53708 19 00000000.png

20 0.0282075 0.00859384 -0.993572 0.109293 0.436557 -0.752856 5.53708 20 00000000.png

21 0.0282075 0.00859384 -0.993572 0.109293 0.436557 -0.752856 5.53708 21 00000000.png

22 0.0282075 0.00859384 -0.993572 0.109293 0.436557 -0.752856 5.53708 22 00000000.png

23 0.0282075 0.00859384 -0.993572 0.109293 0.436557 -0.752856 5.53708 23 00000000.png

24 0.0282075 0.00859384 -0.993572 0.109293 0.436557 -0.752856 5.53708 24 00000000.png

25 0.0282075 0.00859384 -0.993572 0.109293 0.436557 -0.752856 5.53708 25 00000000.png

26 0.0282075 0.00859384 -0.993572 0.109293 0.436557 -0.752856 5.53708 26 00000000.png

27 0.0282075 0.00859384 -0.993572 0.109293 0.436557 -0.752856 5.53708 27 00000000.png

